candidate,year
Biden,1942
Booker,1969
Buttigieg,1982
Castro,1974
Delaney,1963
Gabbard,1981
Gillibrand,1966
Harris,1964
Hickenlooper,1952
Inslee,1951
Klobuchar,1960
Messam,1974
Moulton,1978
O'Rourke,1972
Ryan,1973
Sanders,1941
Swalwell,1980
Williamson,1952
Warren,1949
