candidate,name.rec,fav.min.unfav
biden,96,67
sanders,97,52
warren,84,44
o'rourke,64,42
booker,61,37
harris,59,39
holder,58,26
bloomberg,71,26
klobuchar,46,30
gillibrand,45,30
castro,37,17
delaney,36,14
hickenloopr,33,15
brown,31,15
swalwell,30,10
inslee,18,3
